# timesteps,(%) wins,(%) losses,(%) draws,(%) invalid

1000, 5.0, 2.0, 0.0, 93.0
2000, 0.0, 2.0, 0.0, 98.0
3000, 2.0, 2.0, 0.0, 96.0
4000, 0.0, 2.0, 0.0, 98.0
5000, 1.0, 2.0, 0.0, 97.0
6000, 0.0, 1.0, 0.0, 99.0
7000, 4.0, 0.0, 0.0, 96.0
8000, 1.0, 1.0, 0.0, 98.0
9000, 1.0, 3.0, 0.0, 96.0
10000, 4.0, 1.0, 0.0, 95.0
11000, 2.0, 3.0, 0.0, 95.0
12000, 2.0, 3.0, 0.0, 95.0
13000, 1.0, 3.0, 0.0, 96.0
14000, 4.0, 0.0, 0.0, 96.0
15000, 3.0, 0.0, 0.0, 97.0
16000, 1.0, 2.0, 0.0, 97.0
17000, 5.0, 4.0, 0.0, 91.0
18000, 1.0, 0.0, 0.0, 99.0
19000, 3.0, 1.0, 0.0, 96.0
20000, 2.0, 4.0, 0.0, 94.0
21000, 1.0, 2.0, 0.0, 97.0
22000, 1.0, 3.0, 0.0, 96.0
23000, 3.0, 1.0, 0.0, 96.0
24000, 3.0, 1.0, 0.0, 96.0
25000, 5.0, 2.0, 0.0, 93.0
26000, 1.0, 3.0, 0.0, 96.0
27000, 0.0, 1.0, 0.0, 99.0
28000, 1.0, 2.0, 0.0, 97.0
29000, 1.0, 3.0, 0.0, 96.0
30000, 3.0, 2.0, 0.0, 95.0
31000, 4.0, 3.0, 0.0, 93.0
32000, 2.0, 1.0, 0.0, 97.0
33000, 7.0, 1.0, 0.0, 92.0
34000, 3.0, 4.0, 0.0, 93.0
35000, 3.0, 3.0, 0.0, 94.0
36000, 5.0, 6.0, 0.0, 89.0
37000, 5.0, 1.0, 0.0, 94.0
38000, 5.0, 1.0, 0.0, 94.0
39000, 6.0, 0.0, 0.0, 94.0
40000, 3.0, 2.0, 0.0, 95.0
41000, 1.0, 0.0, 0.0, 99.0
42000, 1.0, 8.0, 0.0, 91.0
43000, 2.0, 2.0, 0.0, 96.0
44000, 3.0, 1.0, 0.0, 96.0
45000, 7.0, 3.0, 0.0, 90.0
46000, 2.0, 6.0, 0.0, 92.0
47000, 4.0, 4.0, 0.0, 92.0
48000, 3.0, 5.0, 0.0, 92.0
49000, 3.0, 2.0, 0.0, 95.0
50000, 4.0, 3.0, 0.0, 93.0
51000, 2.0, 9.0, 0.0, 89.0
52000, 3.0, 0.0, 0.0, 97.0
53000, 4.0, 4.0, 0.0, 92.0
54000, 5.0, 2.0, 0.0, 93.0
55000, 8.0, 4.0, 0.0, 88.0
56000, 5.0, 3.0, 0.0, 92.0
57000, 4.0, 4.0, 0.0, 92.0
58000, 3.0, 2.0, 0.0, 95.0
59000, 8.0, 1.0, 0.0, 91.0
60000, 7.0, 4.0, 0.0, 89.0
61000, 9.0, 7.0, 0.0, 84.0
62000, 5.0, 6.0, 0.0, 89.0
63000, 6.0, 5.0, 0.0, 89.0
64000, 5.0, 4.0, 0.0, 91.0
65000, 7.0, 6.0, 0.0, 87.0
66000, 6.0, 3.0, 0.0, 91.0
67000, 6.0, 10.0, 0.0, 84.0
68000, 6.0, 8.0, 0.0, 86.0
69000, 6.0, 7.0, 0.0, 87.0
70000, 12.0, 6.0, 0.0, 82.0
71000, 6.0, 5.0, 0.0, 89.0
72000, 5.0, 1.0, 0.0, 94.0
73000, 7.0, 7.0, 0.0, 86.0
74000, 9.0, 4.0, 0.0, 87.0
75000, 11.0, 5.0, 0.0, 84.0
76000, 6.0, 8.0, 0.0, 86.0
77000, 8.0, 7.0, 0.0, 85.0
78000, 11.0, 0.0, 0.0, 89.0
79000, 7.0, 6.0, 0.0, 87.0
80000, 9.0, 7.0, 0.0, 84.0
81000, 6.0, 5.0, 0.0, 89.0
82000, 12.0, 1.0, 0.0, 87.0
83000, 11.0, 7.0, 0.0, 82.0
84000, 9.0, 4.0, 0.0, 87.0
85000, 12.0, 9.0, 0.0, 79.0
