# timesteps,(%) wins,(%) losses,(%) draws,(%) invalid
1000, 5.0, 2.0, 0.0, 93.0
2000, 4.0, 2.0, 0.0, 94.0
3000, 0.0, 4.0, 0.0, 96.0
4000, 1.0, 1.0, 0.0, 98.0
5000, 0.0, 1.0, 0.0, 99.0
6000, 1.0, 0.0, 0.0, 99.0
7000, 3.0, 0.0, 0.0, 97.0
8000, 1.0, 1.0, 0.0, 98.0
9000, 1.0, 3.0, 0.0, 96.0
10000, 2.0, 6.0, 0.0, 92.0
11000, 1.0, 1.0, 0.0, 98.0
12000, 1.0, 2.0, 0.0, 97.0
13000, 0.0, 2.0, 0.0, 98.0
14000, 2.0, 1.0, 0.0, 97.0
15000, 1.0, 3.0, 0.0, 96.0
16000, 3.0, 2.0, 0.0, 95.0
17000, 1.0, 2.0, 0.0, 97.0
18000, 0.0, 2.0, 0.0, 98.0
19000, 0.0, 4.0, 0.0, 96.0
20000, 0.0, 3.0, 0.0, 97.0
21000, 0.0, 3.0, 0.0, 97.0
22000, 2.0, 0.0, 0.0, 98.0
23000, 5.0, 1.0, 0.0, 94.0
24000, 2.0, 4.0, 0.0, 94.0
25000, 1.0, 1.0, 0.0, 98.0
26000, 1.0, 1.0, 0.0, 98.0
27000, 4.0, 1.0, 0.0, 95.0
28000, 2.0, 1.0, 0.0, 97.0
29000, 1.0, 3.0, 0.0, 96.0
30000, 1.0, 2.0, 0.0, 97.0
31000, 5.0, 2.0, 0.0, 93.0
32000, 4.0, 4.0, 0.0, 92.0
33000, 4.0, 2.0, 0.0, 94.0
34000, 3.0, 1.0, 0.0, 96.0
35000, 3.0, 2.0, 0.0, 95.0
36000, 1.0, 2.0, 0.0, 97.0
37000, 3.0, 4.0, 0.0, 93.0
38000, 4.0, 5.0, 0.0, 91.0
39000, 1.0, 4.0, 0.0, 95.0
40000, 8.0, 1.0, 0.0, 91.0
41000, 4.0, 5.0, 0.0, 91.0
42000, 4.0, 1.0, 0.0, 95.0
43000, 3.0, 3.0, 0.0, 94.0
44000, 1.0, 5.0, 0.0, 94.0
45000, 7.0, 2.0, 0.0, 91.0
46000, 6.0, 2.0, 0.0, 92.0
47000, 5.0, 5.0, 0.0, 90.0
48000, 5.0, 5.0, 0.0, 90.0
49000, 1.0, 3.0, 0.0, 96.0
50000, 5.0, 2.0, 0.0, 93.0
51000, 6.0, 1.0, 0.0, 93.0
52000, 5.0, 6.0, 0.0, 89.0
53000, 8.0, 4.0, 0.0, 88.0
54000, 4.0, 5.0, 0.0, 91.0
55000, 1.0, 4.0, 0.0, 95.0
56000, 2.0, 3.0, 0.0, 95.0
57000, 5.0, 6.0, 0.0, 89.0
58000, 7.0, 3.0, 0.0, 90.0
59000, 5.0, 3.0, 0.0, 92.0
60000, 5.0, 3.0, 0.0, 92.0
61000, 6.0, 3.0, 0.0, 91.0
62000, 13.0, 2.0, 0.0, 85.0
63000, 7.0, 3.0, 0.0, 90.0
64000, 11.0, 3.0, 0.0, 86.0
65000, 5.0, 4.0, 0.0, 91.0
66000, 7.0, 5.0, 0.0, 88.0
67000, 6.0, 2.0, 0.0, 92.0
68000, 9.0, 4.0, 0.0, 87.0
69000, 9.0, 4.0, 0.0, 87.0
70000, 11.0, 2.0, 0.0, 87.0
71000, 7.0, 4.0, 0.0, 89.0
72000, 2.0, 12.0, 0.0, 86.0
73000, 16.0, 4.0, 0.0, 80.0
74000, 13.0, 5.0, 0.0, 82.0
75000, 4.0, 3.0, 0.0, 93.0
76000, 9.0, 7.0, 0.0, 84.0
77000, 11.0, 3.0, 0.0, 86.0
78000, 7.0, 8.0, 0.0, 85.0
79000, 8.0, 3.0, 0.0, 89.0
80000, 9.0, 6.0, 0.0, 85.0
81000, 8.0, 4.0, 0.0, 88.0
82000, 9.0, 4.0, 0.0, 87.0
83000, 10.0, 5.0, 0.0, 85.0
84000, 13.0, 4.0, 0.0, 83.0
85000, 9.0, 7.0, 0.0, 84.0
86000, 6.0, 2.0, 0.0, 92.0
87000, 10.0, 8.0, 0.0, 82.0
88000, 10.0, 9.0, 0.0, 81.0
89000, 12.0, 11.0, 0.0, 77.0
90000, 11.0, 6.0, 0.0, 83.0
91000, 11.0, 4.0, 0.0, 85.0
92000, 17.0, 3.0, 0.0, 80.0
93000, 13.0, 4.0, 0.0, 83.0
94000, 19.0, 7.0, 0.0, 74.0
95000, 17.0, 4.0, 0.0, 79.0
96000, 12.0, 9.0, 0.0, 79.0
97000, 11.0, 7.0, 0.0, 82.0
98000, 17.0, 3.0, 0.0, 80.0
99000, 13.0, 7.0, 0.0, 80.0
100000, 11.0, 6.0, 0.0, 83.0
101000, 7.0, 6.0, 0.0, 87.0
102000, 14.0, 9.0, 0.0, 77.0
103000, 19.0, 6.0, 0.0, 75.0
104000, 14.0, 7.0, 0.0, 79.0
105000, 15.0, 7.0, 0.0, 78.0
106000, 12.0, 3.0, 0.0, 85.0
107000, 11.0, 4.0, 0.0, 85.0
108000, 14.0, 8.0, 0.0, 78.0
109000, 16.0, 9.0, 0.0, 75.0
110000, 17.0, 1.0, 0.0, 82.0
111000, 18.0, 8.0, 0.0, 74.0
112000, 16.0, 6.0, 0.0, 78.0
113000, 17.0, 7.0, 0.0, 76.0
114000, 22.0, 3.0, 0.0, 75.0
115000, 18.0, 9.0, 0.0, 73.0
116000, 29.0, 7.0, 0.0, 64.0
117000, 17.0, 4.0, 0.0, 79.0
118000, 19.0, 4.0, 0.0, 77.0
119000, 15.0, 6.0, 0.0, 79.0
120000, 18.0, 12.0, 0.0, 70.0
121000, 13.0, 8.0, 0.0, 79.0
122000, 26.0, 8.0, 0.0, 66.0
123000, 13.0, 5.0, 0.0, 82.0
124000, 29.0, 8.0, 0.0, 63.0
125000, 15.0, 3.0, 0.0, 82.0
126000, 22.0, 0.0, 0.0, 78.0
127000, 14.0, 4.0, 0.0, 82.0
128000, 21.0, 8.0, 0.0, 71.0
129000, 14.0, 6.0, 0.0, 80.0
130000, 18.0, 12.0, 0.0, 70.0
131000, 20.0, 10.0, 0.0, 70.0
132000, 12.0, 10.0, 0.0, 78.0
133000, 21.0, 6.0, 0.0, 73.0
134000, 19.0, 10.0, 0.0, 71.0
135000, 17.0, 12.0, 0.0, 71.0
136000, 25.0, 9.0, 0.0, 66.0
137000, 26.0, 7.0, 0.0, 67.0
138000, 23.0, 6.0, 0.0, 71.0
139000, 22.0, 11.0, 0.0, 67.0
140000, 22.0, 8.0, 0.0, 70.0
141000, 21.0, 10.0, 0.0, 69.0
142000, 22.0, 7.0, 0.0, 71.0
143000, 16.0, 10.0, 0.0, 74.0
144000, 16.0, 10.0, 0.0, 74.0
145000, 21.0, 5.0, 0.0, 74.0
146000, 16.0, 13.0, 0.0, 71.0
147000, 19.0, 12.0, 0.0, 69.0
148000, 30.0, 5.0, 0.0, 65.0
149000, 21.0, 11.0, 0.0, 68.0
150000, 26.0, 10.0, 0.0, 64.0
151000, 22.0, 14.0, 0.0, 64.0
152000, 32.0, 9.0, 0.0, 59.0
153000, 17.0, 6.0, 0.0, 77.0
154000, 23.0, 8.0, 0.0, 69.0
155000, 31.0, 6.0, 0.0, 63.0
156000, 26.0, 10.0, 0.0, 64.0
157000, 26.0, 8.0, 0.0, 66.0
158000, 26.0, 4.0, 0.0, 70.0
159000, 31.0, 8.0, 0.0, 61.0
160000, 31.0, 7.0, 0.0, 62.0
161000, 27.0, 11.0, 0.0, 62.0
162000, 33.0, 12.0, 0.0, 55.0
163000, 32.0, 10.0, 0.0, 58.0
164000, 32.0, 12.0, 0.0, 56.0
165000, 31.0, 8.0, 0.0, 61.0
166000, 29.0, 7.0, 0.0, 64.0
167000, 30.0, 9.0, 0.0, 61.0
168000, 30.0, 6.0, 0.0, 64.0
169000, 28.0, 10.0, 0.0, 62.0
170000, 32.0, 15.0, 0.0, 53.0
171000, 33.0, 12.0, 0.0, 55.0
172000, 32.0, 14.0, 0.0, 54.0
173000, 24.0, 10.0, 0.0, 66.0
174000, 24.0, 11.0, 0.0, 65.0
175000, 31.0, 8.0, 0.0, 61.0
176000, 29.0, 10.0, 0.0, 61.0
177000, 30.0, 11.0, 0.0, 59.0
178000, 37.0, 8.0, 0.0, 55.0
179000, 37.0, 11.0, 0.0, 52.0
180000, 27.0, 12.0, 0.0, 61.0
181000, 32.0, 6.0, 0.0, 62.0
