# timesteps,(%) wins,(%) losses,(%) draws,(%) invalid
102000705, 94.0, 6.0, 0.0, 0.0
102001705, 96.0, 4.0, 0.0, 0.0
102002705, 91.0, 9.0, 0.0, 0.0
102003705, 95.0, 5.0, 0.0, 0.0
102004705, 97.0, 3.0, 0.0, 0.0
102005705, 100.0, 0.0, 0.0, 0.0
102006705, 96.0, 4.0, 0.0, 0.0
102007705, 99.0, 1.0, 0.0, 0.0
102008705, 97.0, 3.0, 0.0, 0.0
102009705, 98.0, 2.0, 0.0, 0.0
102010705, 98.0, 2.0, 0.0, 0.0
102011705, 99.0, 1.0, 0.0, 0.0
102012705, 99.0, 1.0, 0.0, 0.0
102013705, 98.0, 2.0, 0.0, 0.0
102014705, 99.0, 1.0, 0.0, 0.0
102015705, 98.0, 2.0, 0.0, 0.0
102016705, 97.0, 3.0, 0.0, 0.0
102017705, 96.0, 4.0, 0.0, 0.0
102018705, 97.0, 3.0, 0.0, 0.0
102019705, 97.0, 3.0, 0.0, 0.0
102020705, 98.0, 2.0, 0.0, 0.0
102021705, 98.0, 2.0, 0.0, 0.0
102022705, 99.0, 1.0, 0.0, 0.0
102023705, 100.0, 0.0, 0.0, 0.0
102024705, 99.0, 1.0, 0.0, 0.0
102025705, 100.0, 0.0, 0.0, 0.0
102026705, 98.0, 2.0, 0.0, 0.0
102027705, 98.0, 2.0, 0.0, 0.0
102028705, 99.0, 1.0, 0.0, 0.0
102029705, 97.0, 3.0, 0.0, 0.0
102030705, 100.0, 0.0, 0.0, 0.0
102031705, 98.0, 2.0, 0.0, 0.0
102032705, 99.0, 1.0, 0.0, 0.0
102033705, 98.0, 2.0, 0.0, 0.0
102034705, 97.0, 3.0, 0.0, 0.0
102035705, 100.0, 0.0, 0.0, 0.0
102036705, 99.0, 1.0, 0.0, 0.0
102037705, 97.0, 3.0, 0.0, 0.0
102038705, 99.0, 1.0, 0.0, 0.0
102039705, 97.0, 3.0, 0.0, 0.0
102040705, 100.0, 0.0, 0.0, 0.0
