# timesteps,(%) wins,(%) losses,(%) draws,(%) invalid

1000, 29.0, 70.0, 1.0, 0.0
2000, 41.0, 57.0, 2.0, 0.0
3000, 34.0, 65.0, 1.0, 0.0
4000, 35.0, 61.0, 4.0, 0.0
5000, 37.0, 61.0, 2.0, 0.0
6000, 38.0, 59.0, 3.0, 0.0
7000, 37.0, 61.0, 2.0, 0.0
8000, 35.0, 62.0, 3.0, 0.0
9000, 30.0, 68.0, 2.0, 0.0
10000, 36.0, 63.0, 1.0, 0.0
11000, 40.0, 57.0, 3.0, 0.0
12000, 47.0, 49.0, 4.0, 0.0
13000, 47.0, 51.0, 2.0, 0.0
14000, 36.0, 62.0, 2.0, 0.0
15000, 51.0, 47.0, 2.0, 0.0
16000, 42.0, 58.0, 0.0, 0.0
17000, 44.0, 56.0, 0.0, 0.0
18000, 36.0, 63.0, 1.0, 0.0
19000, 38.0, 60.0, 2.0, 0.0
20000, 38.0, 61.0, 1.0, 0.0
21000, 44.0, 56.0, 0.0, 0.0
22000, 40.0, 59.0, 1.0, 0.0
23000, 50.0, 48.0, 2.0, 0.0
24000, 46.0, 51.0, 3.0, 0.0
25000, 44.0, 55.0, 1.0, 0.0
26000, 47.0, 51.0, 2.0, 0.0
27000, 49.0, 48.0, 3.0, 0.0
28000, 48.0, 50.0, 2.0, 0.0
29000, 46.0, 53.0, 1.0, 0.0
30000, 43.0, 57.0, 0.0, 0.0
31000, 54.0, 45.0, 1.0, 0.0
32000, 55.0, 44.0, 1.0, 0.0
33000, 50.0, 49.0, 1.0, 0.0
34000, 55.0, 42.0, 3.0, 0.0
35000, 52.0, 47.0, 1.0, 0.0
36000, 48.0, 47.0, 5.0, 0.0
37000, 53.0, 44.0, 3.0, 0.0
38000, 49.0, 48.0, 3.0, 0.0
39000, 51.0, 48.0, 1.0, 0.0
40000, 47.0, 51.0, 2.0, 0.0
41000, 54.0, 46.0, 0.0, 0.0
42000, 48.0, 52.0, 0.0, 0.0
43000, 57.0, 40.0, 3.0, 0.0
44000, 57.0, 43.0, 0.0, 0.0
45000, 38.0, 58.0, 4.0, 0.0
46000, 49.0, 49.0, 2.0, 0.0
47000, 52.0, 46.0, 2.0, 0.0
48000, 55.0, 44.0, 1.0, 0.0
49000, 60.0, 38.0, 2.0, 0.0
50000, 63.0, 36.0, 1.0, 0.0
51000, 63.0, 35.0, 2.0, 0.0
52000, 56.0, 44.0, 0.0, 0.0
53000, 63.0, 35.0, 2.0, 0.0
54000, 67.0, 32.0, 1.0, 0.0
55000, 62.0, 38.0, 0.0, 0.0
56000, 69.0, 28.0, 3.0, 0.0
57000, 75.0, 25.0, 0.0, 0.0
58000, 68.0, 30.0, 2.0, 0.0
59000, 72.0, 26.0, 2.0, 0.0
60000, 68.0, 31.0, 1.0, 0.0
61000, 68.0, 29.0, 3.0, 0.0
62000, 82.0, 17.0, 1.0, 0.0
63000, 78.0, 22.0, 0.0, 0.0
64000, 89.0, 11.0, 0.0, 0.0
65000, 84.0, 16.0, 0.0, 0.0
66000, 82.0, 17.0, 1.0, 0.0
67000, 89.0, 10.0, 1.0, 0.0
68000, 91.0, 9.0, 0.0, 0.0
69000, 90.0, 10.0, 0.0, 0.0
70000, 90.0, 9.0, 1.0, 0.0
71000, 90.0, 9.0, 1.0, 0.0
72000, 96.0, 4.0, 0.0, 0.0
73000, 89.0, 11.0, 0.0, 0.0
74000, 99.0, 1.0, 0.0, 0.0
75000, 94.0, 5.0, 1.0, 0.0
76000, 94.0, 6.0, 0.0, 0.0
77000, 96.0, 4.0, 0.0, 0.0
78000, 100.0, 0.0, 0.0, 0.0
79000, 99.0, 1.0, 0.0, 0.0
80000, 99.0, 1.0, 0.0, 0.0
81000, 99.0, 1.0, 0.0, 0.0
82000, 99.0, 1.0, 0.0, 0.0
83000, 100.0, 0.0, 0.0, 0.0
84000, 99.0, 1.0, 0.0, 0.0
85000, 100.0, 0.0, 0.0, 0.0
86000, 100.0, 0.0, 0.0, 0.0
87000, 100.0, 0.0, 0.0, 0.0
88000, 99.0, 1.0, 0.0, 0.0
89000, 100.0, 0.0, 0.0, 0.0
90000, 100.0, 0.0, 0.0, 0.0
91000, 100.0, 0.0, 0.0, 0.0
92000, 99.0, 1.0, 0.0, 0.0
93000, 100.0, 0.0, 0.0, 0.0
94000, 100.0, 0.0, 0.0, 0.0
95000, 100.0, 0.0, 0.0, 0.0
96000, 99.0, 1.0, 0.0, 0.0
97000, 100.0, 0.0, 0.0, 0.0
98000, 100.0, 0.0, 0.0, 0.0
99000, 100.0, 0.0, 0.0, 0.0
100000, 100.0, 0.0, 0.0, 0.0
101000, 100.0, 0.0, 0.0, 0.0
102000, 100.0, 0.0, 0.0, 0.0
103000, 100.0, 0.0, 0.0, 0.0
104000, 100.0, 0.0, 0.0, 0.0
105000, 100.0, 0.0, 0.0, 0.0
106000, 100.0, 0.0, 0.0, 0.0
107000, 100.0, 0.0, 0.0, 0.0
108000, 100.0, 0.0, 0.0, 0.0
109000, 100.0, 0.0, 0.0, 0.0
110000, 100.0, 0.0, 0.0, 0.0
111000, 100.0, 0.0, 0.0, 0.0
112000, 100.0, 0.0, 0.0, 0.0
113000, 100.0, 0.0, 0.0, 0.0
114000, 100.0, 0.0, 0.0, 0.0
115000, 100.0, 0.0, 0.0, 0.0
116000, 100.0, 0.0, 0.0, 0.0
117000, 100.0, 0.0, 0.0, 0.0
118000, 100.0, 0.0, 0.0, 0.0
119000, 100.0, 0.0, 0.0, 0.0
120000, 100.0, 0.0, 0.0, 0.0
121000, 100.0, 0.0, 0.0, 0.0
122000, 100.0, 0.0, 0.0, 0.0
123000, 100.0, 0.0, 0.0, 0.0
124000, 100.0, 0.0, 0.0, 0.0
125000, 100.0, 0.0, 0.0, 0.0
