# timesteps,(%) wins,(%) losses,(%) draws,(%) invalid
1000, 0.0, 3.0, 0.0, 97.0
2000, 1.0, 0.0, 0.0, 99.0
3000, 1.0, 2.0, 0.0, 97.0
4000, 2.0, 5.0, 0.0, 93.0
5000, 0.0, 1.0, 0.0, 99.0
6000, 4.0, 0.0, 0.0, 96.0
7000, 0.0, 2.0, 0.0, 98.0
8000, 1.0, 1.0, 0.0, 98.0
9000, 3.0, 2.0, 0.0, 95.0
10000, 4.0, 3.0, 0.0, 93.0
11000, 0.0, 3.0, 0.0, 97.0
12000, 0.0, 0.0, 0.0, 100.0
13000, 1.0, 4.0, 0.0, 95.0
14000, 1.0, 1.0, 0.0, 98.0
15000, 2.0, 2.0, 0.0, 96.0
16000, 0.0, 3.0, 0.0, 97.0
17000, 2.0, 3.0, 0.0, 95.0
18000, 0.0, 3.0, 0.0, 97.0
19000, 3.0, 3.0, 0.0, 94.0
20000, 3.0, 2.0, 0.0, 95.0
21000, 4.0, 0.0, 0.0, 96.0
22000, 6.0, 2.0, 0.0, 92.0
23000, 3.0, 1.0, 0.0, 96.0
24000, 2.0, 1.0, 0.0, 97.0
25000, 1.0, 3.0, 0.0, 96.0
26000, 1.0, 2.0, 0.0, 97.0
27000, 1.0, 2.0, 0.0, 97.0
28000, 2.0, 0.0, 0.0, 98.0
29000, 0.0, 0.0, 0.0, 100.0
30000, 4.0, 2.0, 0.0, 94.0
31000, 2.0, 0.0, 0.0, 98.0
32000, 2.0, 1.0, 0.0, 97.0
33000, 1.0, 3.0, 0.0, 96.0
34000, 2.0, 0.0, 0.0, 98.0
35000, 0.0, 2.0, 0.0, 98.0
36000, 2.0, 1.0, 0.0, 97.0
37000, 2.0, 1.0, 0.0, 97.0
38000, 1.0, 1.0, 0.0, 98.0
39000, 6.0, 0.0, 0.0, 94.0
40000, 3.0, 2.0, 0.0, 95.0
41000, 2.0, 3.0, 0.0, 95.0
42000, 0.0, 0.0, 0.0, 100.0
43000, 4.0, 3.0, 0.0, 93.0
44000, 1.0, 2.0, 0.0, 97.0
45000, 2.0, 1.0, 0.0, 97.0
46000, 1.0, 4.0, 0.0, 95.0
47000, 4.0, 2.0, 0.0, 94.0
48000, 3.0, 2.0, 0.0, 95.0
49000, 3.0, 4.0, 0.0, 93.0
50000, 2.0, 3.0, 0.0, 95.0
51000, 3.0, 4.0, 0.0, 93.0
52000, 3.0, 3.0, 0.0, 94.0
53000, 1.0, 2.0, 0.0, 97.0
54000, 2.0, 1.0, 0.0, 97.0
55000, 4.0, 3.0, 0.0, 93.0
56000, 4.0, 2.0, 0.0, 94.0
57000, 3.0, 1.0, 0.0, 96.0
58000, 2.0, 5.0, 0.0, 93.0
59000, 2.0, 3.0, 0.0, 95.0
60000, 4.0, 4.0, 0.0, 92.0
61000, 3.0, 5.0, 0.0, 92.0
62000, 5.0, 1.0, 0.0, 94.0
63000, 2.0, 3.0, 0.0, 95.0
64000, 3.0, 1.0, 0.0, 96.0
65000, 5.0, 1.0, 0.0, 94.0
66000, 0.0, 2.0, 0.0, 98.0
67000, 5.0, 1.0, 0.0, 94.0
68000, 2.0, 0.0, 0.0, 98.0
69000, 7.0, 5.0, 0.0, 88.0
70000, 2.0, 2.0, 0.0, 96.0
71000, 1.0, 3.0, 0.0, 96.0
72000, 3.0, 1.0, 0.0, 96.0
73000, 7.0, 2.0, 0.0, 91.0
74000, 2.0, 0.0, 0.0, 98.0
75000, 3.0, 1.0, 0.0, 96.0
76000, 1.0, 4.0, 0.0, 95.0
77000, 3.0, 2.0, 0.0, 95.0
78000, 3.0, 3.0, 0.0, 94.0
79000, 5.0, 2.0, 0.0, 93.0
80000, 3.0, 3.0, 0.0, 94.0
81000, 5.0, 3.0, 0.0, 92.0
82000, 6.0, 3.0, 0.0, 91.0
83000, 4.0, 3.0, 0.0, 93.0
84000, 3.0, 4.0, 0.0, 93.0
85000, 2.0, 7.0, 0.0, 91.0
86000, 6.0, 2.0, 0.0, 92.0
87000, 3.0, 2.0, 0.0, 95.0
88000, 4.0, 3.0, 0.0, 93.0
89000, 2.0, 3.0, 0.0, 95.0
90000, 4.0, 6.0, 0.0, 90.0
91000, 9.0, 2.0, 0.0, 89.0
92000, 3.0, 2.0, 0.0, 95.0
93000, 4.0, 2.0, 0.0, 94.0
94000, 7.0, 4.0, 0.0, 89.0
95000, 4.0, 3.0, 0.0, 93.0
96000, 4.0, 0.0, 0.0, 96.0
97000, 4.0, 8.0, 0.0, 88.0
98000, 6.0, 3.0, 0.0, 91.0
99000, 4.0, 0.0, 0.0, 96.0
100000, 7.0, 6.0, 0.0, 87.0
101000, 4.0, 5.0, 0.0, 91.0
102000, 5.0, 1.0, 0.0, 94.0
103000, 4.0, 1.0, 0.0, 95.0
104000, 9.0, 1.0, 0.0, 90.0
105000, 6.0, 3.0, 0.0, 91.0
106000, 4.0, 3.0, 0.0, 93.0
107000, 5.0, 3.0, 0.0, 92.0
108000, 4.0, 1.0, 0.0, 95.0
109000, 6.0, 2.0, 0.0, 92.0
110000, 1.0, 3.0, 0.0, 96.0
111000, 4.0, 3.0, 0.0, 93.0
112000, 1.0, 4.0, 0.0, 95.0
113000, 6.0, 5.0, 0.0, 89.0
114000, 10.0, 3.0, 0.0, 87.0
115000, 8.0, 4.0, 0.0, 88.0
116000, 3.0, 2.0, 0.0, 95.0
117000, 3.0, 3.0, 0.0, 94.0
118000, 5.0, 3.0, 0.0, 92.0
119000, 4.0, 3.0, 0.0, 93.0
120000, 7.0, 7.0, 0.0, 86.0
121000, 4.0, 5.0, 0.0, 91.0
122000, 5.0, 3.0, 0.0, 92.0
123000, 7.0, 6.0, 0.0, 87.0
124000, 6.0, 5.0, 0.0, 89.0
125000, 6.0, 3.0, 0.0, 91.0
126000, 2.0, 8.0, 0.0, 90.0
127000, 10.0, 3.0, 0.0, 87.0
128000, 7.0, 7.0, 0.0, 86.0
129000, 7.0, 4.0, 0.0, 89.0
130000, 12.0, 3.0, 0.0, 85.0
131000, 5.0, 1.0, 0.0, 94.0
132000, 5.0, 1.0, 0.0, 94.0
133000, 4.0, 3.0, 0.0, 93.0
134000, 8.0, 2.0, 0.0, 90.0
135000, 10.0, 3.0, 0.0, 87.0
136000, 7.0, 3.0, 0.0, 90.0
137000, 6.0, 2.0, 0.0, 92.0
138000, 9.0, 6.0, 0.0, 85.0
139000, 5.0, 6.0, 0.0, 89.0
140000, 5.0, 4.0, 0.0, 91.0
141000, 7.0, 5.0, 0.0, 88.0
142000, 13.0, 6.0, 0.0, 81.0
143000, 7.0, 3.0, 0.0, 90.0
144000, 8.0, 8.0, 0.0, 84.0
145000, 7.0, 4.0, 0.0, 89.0
146000, 10.0, 7.0, 0.0, 83.0
147000, 8.0, 4.0, 0.0, 88.0
148000, 3.0, 5.0, 0.0, 92.0
149000, 4.0, 5.0, 0.0, 91.0
150000, 3.0, 3.0, 0.0, 94.0
151000, 6.0, 3.0, 0.0, 91.0
152000, 7.0, 7.0, 0.0, 86.0
153000, 8.0, 3.0, 0.0, 89.0
154000, 7.0, 7.0, 0.0, 86.0
155000, 8.0, 6.0, 0.0, 86.0
156000, 10.0, 2.0, 0.0, 88.0
157000, 10.0, 4.0, 0.0, 86.0
158000, 3.0, 6.0, 0.0, 91.0
159000, 9.0, 6.0, 0.0, 85.0
160000, 7.0, 2.0, 0.0, 91.0
161000, 10.0, 3.0, 0.0, 87.0
162000, 10.0, 4.0, 0.0, 86.0
163000, 10.0, 5.0, 0.0, 85.0
164000, 12.0, 6.0, 0.0, 82.0
165000, 6.0, 4.0, 0.0, 90.0
166000, 6.0, 7.0, 0.0, 87.0
167000, 7.0, 6.0, 0.0, 87.0
168000, 4.0, 11.0, 0.0, 85.0
169000, 8.0, 5.0, 0.0, 87.0
170000, 10.0, 1.0, 0.0, 89.0
171000, 8.0, 2.0, 0.0, 90.0
172000, 8.0, 5.0, 0.0, 87.0
173000, 12.0, 6.0, 0.0, 82.0
174000, 2.0, 5.0, 0.0, 93.0
175000, 11.0, 5.0, 0.0, 84.0
176000, 8.0, 7.0, 0.0, 85.0
177000, 10.0, 3.0, 0.0, 87.0
178000, 7.0, 5.0, 0.0, 88.0
179000, 11.0, 2.0, 0.0, 87.0
180000, 13.0, 5.0, 0.0, 82.0
181000, 6.0, 6.0, 0.0, 88.0
182000, 8.0, 3.0, 0.0, 89.0
183000, 9.0, 5.0, 0.0, 86.0
184000, 12.0, 9.0, 0.0, 79.0
185000, 9.0, 6.0, 0.0, 85.0
186000, 14.0, 4.0, 0.0, 82.0
187000, 16.0, 3.0, 0.0, 81.0
188000, 17.0, 6.0, 0.0, 77.0
189000, 10.0, 2.0, 0.0, 88.0
190000, 9.0, 5.0, 0.0, 86.0
191000, 14.0, 5.0, 0.0, 81.0
192000, 13.0, 5.0, 0.0, 82.0
193000, 6.0, 3.0, 0.0, 91.0
194000, 15.0, 6.0, 0.0, 79.0
195000, 8.0, 9.0, 0.0, 83.0
196000, 8.0, 4.0, 0.0, 88.0
197000, 14.0, 5.0, 0.0, 81.0
198000, 12.0, 6.0, 0.0, 82.0
199000, 17.0, 8.0, 0.0, 75.0
200000, 14.0, 7.0, 0.0, 79.0
201000, 11.0, 4.0, 0.0, 85.0
202000, 10.0, 5.0, 0.0, 85.0
203000, 7.0, 5.0, 0.0, 88.0
204000, 16.0, 4.0, 0.0, 80.0
205000, 18.0, 8.0, 0.0, 74.0
206000, 11.0, 9.0, 0.0, 80.0
207000, 12.0, 3.0, 0.0, 85.0
208000, 11.0, 4.0, 0.0, 85.0
209000, 17.0, 7.0, 0.0, 76.0
210000, 8.0, 7.0, 0.0, 85.0
211000, 13.0, 4.0, 0.0, 83.0
212000, 12.0, 6.0, 0.0, 82.0
213000, 10.0, 6.0, 0.0, 84.0
214000, 20.0, 4.0, 0.0, 76.0
215000, 16.0, 9.0, 0.0, 75.0
216000, 14.0, 3.0, 0.0, 83.0
217000, 8.0, 5.0, 0.0, 87.0
218000, 15.0, 4.0, 0.0, 81.0
219000, 16.0, 8.0, 0.0, 76.0
220000, 14.0, 9.0, 0.0, 77.0
221000, 16.0, 6.0, 0.0, 78.0
222000, 10.0, 4.0, 0.0, 86.0
223000, 12.0, 5.0, 0.0, 83.0
224000, 12.0, 6.0, 0.0, 82.0
225000, 12.0, 6.0, 0.0, 82.0
226000, 11.0, 3.0, 0.0, 86.0
227000, 12.0, 8.0, 0.0, 80.0
228000, 10.0, 8.0, 0.0, 82.0
229000, 17.0, 3.0, 0.0, 80.0
230000, 18.0, 7.0, 0.0, 75.0
231000, 12.0, 1.0, 0.0, 87.0
232000, 11.0, 11.0, 0.0, 78.0
233000, 21.0, 3.0, 0.0, 76.0
234000, 18.0, 1.0, 0.0, 81.0
235000, 12.0, 9.0, 0.0, 79.0
236000, 20.0, 4.0, 0.0, 76.0
237000, 14.0, 4.0, 0.0, 82.0
238000, 15.0, 5.0, 0.0, 80.0
239000, 13.0, 9.0, 0.0, 78.0
240000, 15.0, 5.0, 0.0, 80.0
241000, 13.0, 5.0, 0.0, 82.0
242000, 12.0, 9.0, 0.0, 79.0
243000, 18.0, 6.0, 0.0, 76.0
244000, 11.0, 7.0, 0.0, 82.0
245000, 17.0, 3.0, 0.0, 80.0
246000, 10.0, 8.0, 0.0, 82.0
247000, 20.0, 7.0, 0.0, 73.0
248000, 12.0, 9.0, 0.0, 79.0
249000, 22.0, 5.0, 0.0, 73.0
250000, 12.0, 8.0, 0.0, 80.0
251000, 14.0, 8.0, 0.0, 78.0
252000, 17.0, 5.0, 0.0, 78.0
253000, 12.0, 5.0, 0.0, 83.0
254000, 14.0, 7.0, 0.0, 79.0
255000, 14.0, 4.0, 0.0, 82.0
256000, 16.0, 11.0, 0.0, 73.0
257000, 18.0, 3.0, 0.0, 79.0
258000, 16.0, 5.0, 0.0, 79.0
259000, 22.0, 7.0, 0.0, 71.0
260000, 15.0, 9.0, 0.0, 76.0
261000, 15.0, 6.0, 0.0, 79.0
262000, 19.0, 8.0, 0.0, 73.0
263000, 13.0, 3.0, 0.0, 84.0
264000, 13.0, 7.0, 0.0, 80.0
265000, 20.0, 12.0, 0.0, 68.0
266000, 19.0, 7.0, 0.0, 74.0
267000, 19.0, 5.0, 0.0, 76.0
268000, 21.0, 8.0, 0.0, 71.0
269000, 15.0, 10.0, 0.0, 75.0
270000, 15.0, 6.0, 0.0, 79.0
271000, 16.0, 3.0, 0.0, 81.0
272000, 19.0, 2.0, 0.0, 79.0
273000, 21.0, 6.0, 0.0, 73.0
274000, 24.0, 9.0, 0.0, 67.0
275000, 18.0, 3.0, 0.0, 79.0
276000, 11.0, 5.0, 0.0, 84.0
277000, 18.0, 9.0, 0.0, 73.0
278000, 20.0, 5.0, 0.0, 75.0
279000, 23.0, 9.0, 0.0, 68.0
280000, 25.0, 5.0, 0.0, 70.0
281000, 21.0, 10.0, 0.0, 69.0
282000, 23.0, 6.0, 0.0, 71.0
283000, 16.0, 7.0, 0.0, 77.0
284000, 17.0, 7.0, 0.0, 76.0
285000, 27.0, 8.0, 0.0, 65.0
286000, 18.0, 6.0, 0.0, 76.0
287000, 15.0, 4.0, 0.0, 81.0
288000, 19.0, 6.0, 0.0, 75.0
289000, 20.0, 6.0, 0.0, 74.0
290000, 15.0, 9.0, 0.0, 76.0
291000, 26.0, 5.0, 0.0, 69.0
292000, 25.0, 9.0, 0.0, 66.0
293000, 12.0, 7.0, 0.0, 81.0
294000, 19.0, 5.0, 0.0, 76.0
295000, 20.0, 6.0, 0.0, 74.0
296000, 19.0, 7.0, 0.0, 74.0
297000, 17.0, 8.0, 0.0, 75.0
298000, 16.0, 6.0, 0.0, 78.0
299000, 12.0, 7.0, 0.0, 81.0
300000, 13.0, 6.0, 0.0, 81.0
301000, 26.0, 8.0, 0.0, 66.0
302000, 16.0, 5.0, 0.0, 79.0
303000, 20.0, 4.0, 0.0, 76.0
304000, 15.0, 11.0, 0.0, 74.0
305000, 21.0, 2.0, 0.0, 77.0
306000, 19.0, 7.0, 0.0, 74.0
307000, 22.0, 10.0, 0.0, 68.0
308000, 14.0, 8.0, 0.0, 78.0
309000, 18.0, 7.0, 0.0, 75.0
310000, 19.0, 8.0, 0.0, 73.0
311000, 21.0, 4.0, 0.0, 75.0
312000, 18.0, 6.0, 0.0, 76.0
313000, 21.0, 7.0, 0.0, 72.0
314000, 21.0, 3.0, 0.0, 76.0
315000, 19.0, 9.0, 0.0, 72.0
316000, 22.0, 10.0, 0.0, 68.0
317000, 21.0, 3.0, 0.0, 76.0
318000, 18.0, 3.0, 0.0, 79.0
319000, 24.0, 9.0, 0.0, 67.0
320000, 16.0, 10.0, 0.0, 74.0
321000, 17.0, 12.0, 0.0, 71.0
322000, 15.0, 7.0, 0.0, 78.0
323000, 13.0, 15.0, 0.0, 72.0
324000, 25.0, 5.0, 0.0, 70.0
325000, 21.0, 11.0, 0.0, 68.0
326000, 22.0, 5.0, 0.0, 73.0
327000, 23.0, 5.0, 0.0, 72.0
328000, 13.0, 9.0, 0.0, 78.0
329000, 16.0, 5.0, 0.0, 79.0
330000, 23.0, 8.0, 0.0, 69.0
331000, 22.0, 9.0, 0.0, 69.0
332000, 29.0, 9.0, 0.0, 62.0
333000, 20.0, 9.0, 0.0, 71.0
334000, 21.0, 5.0, 0.0, 74.0
335000, 18.0, 5.0, 0.0, 77.0
336000, 24.0, 8.0, 0.0, 68.0
337000, 17.0, 8.0, 0.0, 75.0
338000, 26.0, 5.0, 0.0, 69.0
339000, 19.0, 8.0, 0.0, 73.0
340000, 17.0, 4.0, 0.0, 79.0
341000, 20.0, 8.0, 0.0, 72.0
342000, 21.0, 7.0, 0.0, 72.0
343000, 13.0, 13.0, 0.0, 74.0
344000, 21.0, 9.0, 0.0, 70.0
345000, 16.0, 8.0, 0.0, 76.0
346000, 21.0, 7.0, 0.0, 72.0
347000, 25.0, 10.0, 0.0, 65.0
348000, 19.0, 10.0, 0.0, 71.0
349000, 20.0, 11.0, 0.0, 69.0
350000, 26.0, 7.0, 0.0, 67.0
351000, 23.0, 10.0, 0.0, 67.0
352000, 13.0, 9.0, 0.0, 78.0
353000, 22.0, 6.0, 0.0, 72.0
354000, 26.0, 6.0, 0.0, 68.0
355000, 23.0, 7.0, 0.0, 70.0
356000, 21.0, 9.0, 0.0, 70.0
357000, 24.0, 7.0, 0.0, 69.0
358000, 24.0, 3.0, 0.0, 73.0
359000, 24.0, 6.0, 0.0, 70.0
360000, 18.0, 12.0, 0.0, 70.0
361000, 16.0, 5.0, 0.0, 79.0
362000, 20.0, 8.0, 0.0, 72.0
363000, 30.0, 10.0, 0.0, 60.0
364000, 19.0, 6.0, 0.0, 75.0
365000, 20.0, 11.0, 0.0, 69.0
366000, 23.0, 2.0, 0.0, 75.0
367000, 16.0, 5.0, 0.0, 79.0
368000, 17.0, 9.0, 0.0, 74.0
369000, 27.0, 4.0, 0.0, 69.0
370000, 29.0, 7.0, 0.0, 64.0
371000, 23.0, 6.0, 0.0, 71.0
372000, 22.0, 10.0, 0.0, 68.0
373000, 28.0, 12.0, 0.0, 60.0
374000, 28.0, 4.0, 0.0, 68.0
375000, 21.0, 9.0, 0.0, 70.0
376000, 28.0, 9.0, 0.0, 63.0
377000, 29.0, 5.0, 0.0, 66.0
378000, 17.0, 12.0, 0.0, 71.0
379000, 18.0, 8.0, 0.0, 74.0
380000, 20.0, 7.0, 0.0, 73.0
381000, 16.0, 6.0, 0.0, 78.0
382000, 24.0, 7.0, 0.0, 69.0
383000, 19.0, 10.0, 0.0, 71.0
384000, 28.0, 8.0, 0.0, 64.0
385000, 17.0, 9.0, 0.0, 74.0
386000, 27.0, 8.0, 0.0, 65.0
387000, 28.0, 5.0, 0.0, 67.0
388000, 21.0, 4.0, 0.0, 75.0
389000, 25.0, 11.0, 0.0, 64.0
390000, 19.0, 2.0, 0.0, 79.0
391000, 29.0, 9.0, 0.0, 62.0
392000, 23.0, 9.0, 0.0, 68.0
393000, 27.0, 10.0, 0.0, 63.0
394000, 25.0, 9.0, 0.0, 66.0
395000, 21.0, 16.0, 0.0, 63.0
396000, 26.0, 12.0, 0.0, 62.0
397000, 21.0, 9.0, 0.0, 70.0
398000, 20.0, 6.0, 0.0, 74.0
399000, 24.0, 16.0, 0.0, 60.0
400000, 27.0, 15.0, 0.0, 58.0
401000, 22.0, 9.0, 0.0, 69.0
402000, 23.0, 11.0, 0.0, 66.0
403000, 21.0, 10.0, 0.0, 69.0
404000, 26.0, 3.0, 0.0, 71.0
405000, 17.0, 5.0, 0.0, 78.0
406000, 10.0, 16.0, 0.0, 74.0
407000, 31.0, 11.0, 0.0, 58.0
408000, 23.0, 13.0, 0.0, 64.0
409000, 18.0, 9.0, 0.0, 73.0
410000, 25.0, 5.0, 0.0, 70.0
411000, 25.0, 4.0, 0.0, 71.0
412000, 29.0, 6.0, 0.0, 65.0
413000, 21.0, 5.0, 0.0, 74.0
414000, 16.0, 10.0, 0.0, 74.0
415000, 28.0, 12.0, 0.0, 60.0
416000, 24.0, 9.0, 0.0, 67.0
417000, 20.0, 7.0, 0.0, 73.0
418000, 23.0, 11.0, 0.0, 66.0
419000, 29.0, 12.0, 0.0, 59.0
420000, 19.0, 4.0, 0.0, 77.0
421000, 29.0, 8.0, 0.0, 63.0
422000, 24.0, 10.0, 0.0, 66.0
423000, 22.0, 8.0, 0.0, 70.0
424000, 20.0, 12.0, 0.0, 68.0
425000, 32.0, 6.0, 0.0, 62.0
426000, 29.0, 6.0, 0.0, 65.0
427000, 23.0, 12.0, 0.0, 65.0
428000, 29.0, 10.0, 0.0, 61.0
429000, 26.0, 10.0, 0.0, 64.0
430000, 23.0, 7.0, 0.0, 70.0
431000, 26.0, 5.0, 0.0, 69.0
432000, 24.0, 10.0, 0.0, 66.0
433000, 20.0, 7.0, 0.0, 73.0
434000, 32.0, 5.0, 0.0, 63.0
435000, 18.0, 14.0, 0.0, 68.0
436000, 27.0, 6.0, 0.0, 67.0
437000, 27.0, 8.0, 0.0, 65.0
438000, 29.0, 6.0, 0.0, 65.0
439000, 29.0, 4.0, 0.0, 67.0
440000, 29.0, 7.0, 0.0, 64.0
441000, 21.0, 6.0, 0.0, 73.0
442000, 25.0, 11.0, 0.0, 64.0
443000, 21.0, 10.0, 0.0, 69.0
444000, 21.0, 7.0, 0.0, 72.0
445000, 19.0, 9.0, 0.0, 72.0
446000, 24.0, 12.0, 0.0, 64.0
447000, 25.0, 7.0, 0.0, 68.0
448000, 23.0, 13.0, 0.0, 64.0
449000, 21.0, 10.0, 0.0, 69.0
450000, 21.0, 7.0, 0.0, 72.0
451000, 27.0, 9.0, 0.0, 64.0
452000, 24.0, 9.0, 0.0, 67.0
453000, 24.0, 11.0, 0.0, 65.0
454000, 27.0, 4.0, 0.0, 69.0
455000, 26.0, 8.0, 0.0, 66.0
456000, 23.0, 7.0, 0.0, 70.0
457000, 26.0, 10.0, 0.0, 64.0
458000, 29.0, 7.0, 0.0, 64.0
459000, 25.0, 9.0, 0.0, 66.0
460000, 21.0, 6.0, 0.0, 73.0
461000, 20.0, 17.0, 0.0, 63.0
462000, 26.0, 13.0, 0.0, 61.0
463000, 24.0, 8.0, 0.0, 68.0
464000, 26.0, 12.0, 0.0, 62.0
465000, 20.0, 12.0, 0.0, 68.0
466000, 23.0, 12.0, 0.0, 65.0
467000, 29.0, 5.0, 0.0, 66.0
468000, 28.0, 11.0, 0.0, 61.0
469000, 20.0, 8.0, 0.0, 72.0
470000, 32.0, 9.0, 0.0, 59.0
471000, 25.0, 11.0, 0.0, 64.0
472000, 17.0, 15.0, 0.0, 68.0
473000, 31.0, 12.0, 0.0, 57.0
474000, 17.0, 9.0, 0.0, 74.0
475000, 30.0, 14.0, 0.0, 56.0
476000, 34.0, 17.0, 0.0, 49.0
477000, 26.0, 7.0, 0.0, 67.0
478000, 25.0, 11.0, 0.0, 64.0
479000, 22.0, 9.0, 0.0, 69.0
480000, 27.0, 13.0, 0.0, 60.0
481000, 21.0, 9.0, 0.0, 70.0
482000, 19.0, 8.0, 0.0, 73.0
483000, 27.0, 6.0, 0.0, 67.0
484000, 26.0, 11.0, 0.0, 63.0
485000, 20.0, 6.0, 0.0, 74.0
486000, 24.0, 5.0, 0.0, 71.0
487000, 20.0, 9.0, 0.0, 71.0
488000, 27.0, 10.0, 0.0, 63.0
489000, 28.0, 4.0, 0.0, 68.0
490000, 35.0, 9.0, 0.0, 56.0
491000, 24.0, 9.0, 0.0, 67.0
492000, 26.0, 12.0, 0.0, 62.0
493000, 30.0, 11.0, 0.0, 59.0
