# timesteps,(%) wins,(%) losses,(%) draws,(%) invalid

1000, 0.0, 3.0, 0.0, 97.0
2000, 1.0, 0.0, 0.0, 99.0
3000, 1.0, 2.0, 0.0, 97.0
4000, 1.0, 4.0, 0.0, 95.0
5000, 0.0, 0.0, 0.0, 100.0
6000, 0.0, 1.0, 0.0, 99.0
7000, 1.0, 1.0, 0.0, 98.0
8000, 2.0, 0.0, 0.0, 98.0
9000, 2.0, 1.0, 0.0, 97.0
10000, 3.0, 0.0, 0.0, 97.0
11000, 0.0, 3.0, 0.0, 97.0
12000, 3.0, 0.0, 0.0, 97.0
13000, 2.0, 2.0, 0.0, 96.0
14000, 0.0, 1.0, 0.0, 99.0
15000, 3.0, 3.0, 0.0, 94.0
16000, 0.0, 2.0, 0.0, 98.0
17000, 0.0, 0.0, 0.0, 100.0
18000, 3.0, 4.0, 0.0, 93.0
19000, 1.0, 0.0, 0.0, 99.0
20000, 1.0, 0.0, 0.0, 99.0
21000, 1.0, 2.0, 0.0, 97.0
22000, 0.0, 3.0, 0.0, 97.0
23000, 1.0, 3.0, 0.0, 96.0
24000, 1.0, 1.0, 0.0, 98.0
25000, 3.0, 2.0, 0.0, 95.0
26000, 0.0, 2.0, 0.0, 98.0
27000, 4.0, 3.0, 0.0, 93.0
28000, 5.0, 3.0, 0.0, 92.0
29000, 6.0, 2.0, 0.0, 92.0
30000, 5.0, 1.0, 0.0, 94.0
31000, 3.0, 5.0, 0.0, 92.0
32000, 3.0, 4.0, 0.0, 93.0
33000, 3.0, 4.0, 0.0, 93.0
34000, 1.0, 0.0, 0.0, 99.0
35000, 4.0, 1.0, 0.0, 95.0
36000, 1.0, 3.0, 0.0, 96.0
37000, 1.0, 5.0, 0.0, 94.0
38000, 5.0, 1.0, 0.0, 94.0
39000, 1.0, 2.0, 0.0, 97.0
40000, 1.0, 3.0, 0.0, 96.0
41000, 1.0, 1.0, 0.0, 98.0
42000, 2.0, 0.0, 0.0, 98.0
43000, 4.0, 0.0, 0.0, 96.0
44000, 3.0, 2.0, 0.0, 95.0
45000, 2.0, 1.0, 0.0, 97.0
46000, 2.0, 4.0, 0.0, 94.0
47000, 2.0, 3.0, 0.0, 95.0
48000, 3.0, 0.0, 0.0, 97.0
49000, 0.0, 1.0, 0.0, 99.0
50000, 1.0, 0.0, 0.0, 99.0
51000, 1.0, 0.0, 0.0, 99.0
52000, 5.0, 2.0, 0.0, 93.0
53000, 2.0, 3.0, 0.0, 95.0
54000, 3.0, 3.0, 0.0, 94.0
55000, 4.0, 1.0, 0.0, 95.0
56000, 0.0, 3.0, 0.0, 97.0
57000, 4.0, 0.0, 0.0, 96.0
58000, 3.0, 2.0, 0.0, 95.0
59000, 3.0, 1.0, 0.0, 96.0
60000, 0.0, 2.0, 0.0, 98.0
61000, 4.0, 5.0, 0.0, 91.0
62000, 4.0, 2.0, 0.0, 94.0
63000, 2.0, 1.0, 0.0, 97.0
64000, 6.0, 5.0, 0.0, 89.0
65000, 1.0, 2.0, 0.0, 97.0
66000, 3.0, 0.0, 0.0, 97.0
67000, 2.0, 1.0, 0.0, 97.0
68000, 2.0, 2.0, 0.0, 96.0
69000, 2.0, 1.0, 0.0, 97.0
70000, 2.0, 1.0, 0.0, 97.0
71000, 3.0, 2.0, 0.0, 95.0
72000, 3.0, 8.0, 0.0, 89.0
73000, 3.0, 4.0, 0.0, 93.0
74000, 3.0, 0.0, 0.0, 97.0
75000, 2.0, 3.0, 0.0, 95.0
76000, 5.0, 2.0, 0.0, 93.0
77000, 4.0, 5.0, 0.0, 91.0
78000, 4.0, 3.0, 0.0, 93.0
79000, 3.0, 4.0, 0.0, 93.0
80000, 3.0, 4.0, 0.0, 93.0
81000, 5.0, 2.0, 0.0, 93.0
82000, 4.0, 0.0, 0.0, 96.0
83000, 2.0, 0.0, 0.0, 98.0
84000, 7.0, 2.0, 0.0, 91.0
85000, 2.0, 1.0, 0.0, 97.0
86000, 5.0, 4.0, 0.0, 91.0
87000, 0.0, 3.0, 0.0, 97.0
88000, 3.0, 1.0, 0.0, 96.0
89000, 2.0, 2.0, 0.0, 96.0
90000, 5.0, 0.0, 0.0, 95.0
91000, 3.0, 2.0, 0.0, 95.0
92000, 9.0, 1.0, 0.0, 90.0
93000, 2.0, 4.0, 0.0, 94.0
94000, 3.0, 4.0, 0.0, 93.0
95000, 3.0, 4.0, 0.0, 93.0
96000, 3.0, 5.0, 0.0, 92.0
97000, 2.0, 2.0, 0.0, 96.0
98000, 1.0, 1.0, 0.0, 98.0
99000, 3.0, 4.0, 0.0, 93.0
100000, 6.0, 2.0, 0.0, 92.0
101000, 7.0, 5.0, 0.0, 88.0
102000, 4.0, 4.0, 0.0, 92.0
103000, 2.0, 2.0, 0.0, 96.0
104000, 5.0, 3.0, 0.0, 92.0
105000, 1.0, 5.0, 0.0, 94.0
106000, 4.0, 1.0, 0.0, 95.0
107000, 5.0, 4.0, 0.0, 91.0
108000, 3.0, 2.0, 0.0, 95.0
109000, 4.0, 3.0, 0.0, 93.0
110000, 2.0, 2.0, 0.0, 96.0
111000, 3.0, 2.0, 0.0, 95.0
112000, 6.0, 2.0, 0.0, 92.0
113000, 7.0, 4.0, 0.0, 89.0
114000, 9.0, 2.0, 0.0, 89.0
115000, 2.0, 3.0, 0.0, 95.0
116000, 4.0, 2.0, 0.0, 94.0
117000, 1.0, 2.0, 0.0, 97.0
118000, 8.0, 4.0, 0.0, 88.0
119000, 7.0, 4.0, 0.0, 89.0
120000, 6.0, 0.0, 0.0, 94.0
121000, 4.0, 4.0, 0.0, 92.0
122000, 3.0, 2.0, 0.0, 95.0
123000, 3.0, 1.0, 0.0, 96.0
124000, 6.0, 4.0, 0.0, 90.0
125000, 7.0, 6.0, 0.0, 87.0
126000, 7.0, 7.0, 0.0, 86.0
127000, 4.0, 4.0, 0.0, 92.0
128000, 4.0, 4.0, 0.0, 92.0
129000, 10.0, 1.0, 0.0, 89.0
130000, 7.0, 3.0, 0.0, 90.0
131000, 11.0, 5.0, 0.0, 84.0
132000, 5.0, 4.0, 0.0, 91.0
133000, 8.0, 0.0, 0.0, 92.0
134000, 6.0, 2.0, 0.0, 92.0
135000, 1.0, 3.0, 0.0, 96.0
136000, 7.0, 4.0, 0.0, 89.0
137000, 5.0, 2.0, 0.0, 93.0
138000, 12.0, 3.0, 0.0, 85.0
139000, 5.0, 5.0, 0.0, 90.0
140000, 5.0, 4.0, 0.0, 91.0
141000, 10.0, 5.0, 0.0, 85.0
142000, 8.0, 6.0, 0.0, 86.0
143000, 5.0, 2.0, 0.0, 93.0
144000, 5.0, 2.0, 0.0, 93.0
145000, 7.0, 2.0, 0.0, 91.0
146000, 10.0, 3.0, 0.0, 87.0
147000, 13.0, 4.0, 0.0, 83.0
148000, 5.0, 4.0, 0.0, 91.0
149000, 6.0, 1.0, 0.0, 93.0
150000, 10.0, 2.0, 0.0, 88.0
151000, 5.0, 4.0, 0.0, 91.0
152000, 10.0, 3.0, 0.0, 87.0
153000, 9.0, 6.0, 0.0, 85.0
154000, 4.0, 6.0, 0.0, 90.0
155000, 9.0, 1.0, 0.0, 90.0
156000, 12.0, 6.0, 0.0, 82.0
157000, 8.0, 2.0, 0.0, 90.0
158000, 9.0, 2.0, 0.0, 89.0
159000, 7.0, 3.0, 0.0, 90.0
160000, 5.0, 6.0, 0.0, 89.0
161000, 11.0, 2.0, 0.0, 87.0
162000, 9.0, 3.0, 0.0, 88.0
163000, 13.0, 1.0, 0.0, 86.0
164000, 4.0, 4.0, 0.0, 92.0
165000, 12.0, 4.0, 0.0, 84.0
166000, 14.0, 2.0, 0.0, 84.0
167000, 10.0, 4.0, 0.0, 86.0
168000, 8.0, 1.0, 0.0, 91.0
169000, 10.0, 3.0, 0.0, 87.0
170000, 18.0, 5.0, 0.0, 77.0
171000, 6.0, 4.0, 0.0, 90.0
172000, 15.0, 5.0, 0.0, 80.0
173000, 11.0, 5.0, 0.0, 84.0
174000, 12.0, 3.0, 0.0, 85.0
175000, 6.0, 5.0, 0.0, 89.0
176000, 10.0, 5.0, 0.0, 85.0
177000, 13.0, 2.0, 0.0, 85.0
178000, 7.0, 6.0, 0.0, 87.0
179000, 11.0, 4.0, 0.0, 85.0
180000, 15.0, 5.0, 0.0, 80.0
181000, 10.0, 3.0, 0.0, 87.0
182000, 19.0, 6.0, 0.0, 75.0
183000, 11.0, 4.0, 0.0, 85.0
184000, 13.0, 2.0, 0.0, 85.0
185000, 10.0, 5.0, 0.0, 85.0
186000, 13.0, 2.0, 0.0, 85.0
187000, 14.0, 3.0, 0.0, 83.0
188000, 16.0, 5.0, 0.0, 79.0
189000, 7.0, 1.0, 0.0, 92.0
190000, 9.0, 3.0, 0.0, 88.0
191000, 19.0, 1.0, 0.0, 80.0
192000, 9.0, 3.0, 0.0, 88.0
193000, 13.0, 4.0, 0.0, 83.0
194000, 12.0, 3.0, 0.0, 85.0
195000, 10.0, 1.0, 0.0, 89.0
196000, 13.0, 3.0, 0.0, 84.0
197000, 9.0, 5.0, 0.0, 86.0
198000, 11.0, 3.0, 0.0, 86.0
199000, 9.0, 3.0, 0.0, 88.0
200000, 12.0, 2.0, 0.0, 86.0
201000, 19.0, 4.0, 0.0, 77.0
202000, 20.0, 3.0, 0.0, 77.0
203000, 15.0, 4.0, 0.0, 81.0
204000, 18.0, 2.0, 0.0, 80.0
205000, 14.0, 5.0, 0.0, 81.0
206000, 19.0, 2.0, 0.0, 79.0
207000, 13.0, 4.0, 0.0, 83.0
208000, 16.0, 2.0, 0.0, 82.0
209000, 10.0, 3.0, 0.0, 87.0
210000, 13.0, 3.0, 0.0, 84.0
211000, 15.0, 4.0, 0.0, 81.0
212000, 15.0, 3.0, 0.0, 82.0
213000, 15.0, 1.0, 0.0, 84.0
214000, 13.0, 2.0, 0.0, 85.0
215000, 13.0, 2.0, 0.0, 85.0
216000, 11.0, 3.0, 0.0, 86.0
217000, 23.0, 3.0, 0.0, 74.0
218000, 19.0, 3.0, 0.0, 78.0
219000, 13.0, 2.0, 0.0, 85.0
220000, 13.0, 5.0, 0.0, 82.0
221000, 19.0, 2.0, 0.0, 79.0
222000, 18.0, 3.0, 0.0, 79.0
223000, 14.0, 6.0, 0.0, 80.0
224000, 22.0, 3.0, 0.0, 75.0
225000, 8.0, 4.0, 0.0, 88.0
226000, 16.0, 6.0, 0.0, 78.0
227000, 18.0, 3.0, 0.0, 79.0
228000, 13.0, 2.0, 0.0, 85.0
229000, 8.0, 4.0, 0.0, 88.0
230000, 20.0, 6.0, 0.0, 74.0
231000, 13.0, 7.0, 0.0, 80.0
232000, 20.0, 2.0, 0.0, 78.0
233000, 12.0, 3.0, 0.0, 85.0
234000, 15.0, 3.0, 0.0, 82.0
235000, 12.0, 2.0, 0.0, 86.0
236000, 17.0, 3.0, 0.0, 80.0
237000, 13.0, 6.0, 0.0, 81.0
238000, 15.0, 3.0, 0.0, 82.0
239000, 18.0, 3.0, 0.0, 79.0
240000, 13.0, 4.0, 0.0, 83.0
241000, 22.0, 1.0, 0.0, 77.0
242000, 16.0, 3.0, 0.0, 81.0
243000, 11.0, 6.0, 0.0, 83.0
244000, 14.0, 5.0, 0.0, 81.0
245000, 14.0, 3.0, 0.0, 83.0
246000, 22.0, 2.0, 0.0, 76.0
247000, 11.0, 3.0, 0.0, 86.0
248000, 10.0, 10.0, 0.0, 80.0
249000, 13.0, 5.0, 0.0, 82.0
250000, 18.0, 5.0, 0.0, 77.0
251000, 17.0, 11.0, 0.0, 72.0
252000, 16.0, 3.0, 0.0, 81.0
253000, 7.0, 4.0, 0.0, 89.0
254000, 18.0, 4.0, 0.0, 78.0
255000, 12.0, 2.0, 0.0, 86.0
256000, 14.0, 3.0, 0.0, 83.0
257000, 15.0, 2.0, 0.0, 83.0
258000, 19.0, 2.0, 0.0, 79.0
259000, 17.0, 0.0, 0.0, 83.0
260000, 16.0, 4.0, 0.0, 80.0
261000, 24.0, 3.0, 0.0, 73.0
262000, 24.0, 6.0, 0.0, 70.0
263000, 16.0, 0.0, 0.0, 84.0
264000, 15.0, 6.0, 0.0, 79.0
265000, 15.0, 4.0, 0.0, 81.0
266000, 19.0, 6.0, 0.0, 75.0
267000, 21.0, 6.0, 0.0, 73.0
268000, 19.0, 2.0, 0.0, 79.0
269000, 13.0, 4.0, 0.0, 83.0
270000, 12.0, 3.0, 0.0, 85.0
271000, 16.0, 5.0, 0.0, 79.0
272000, 17.0, 7.0, 0.0, 76.0
273000, 17.0, 1.0, 0.0, 82.0
274000, 13.0, 2.0, 0.0, 85.0
275000, 15.0, 2.0, 0.0, 83.0
276000, 14.0, 1.0, 0.0, 85.0
277000, 20.0, 1.0, 0.0, 79.0
278000, 14.0, 5.0, 0.0, 81.0
279000, 14.0, 2.0, 0.0, 84.0
280000, 12.0, 4.0, 0.0, 84.0
281000, 18.0, 4.0, 0.0, 78.0
282000, 19.0, 1.0, 0.0, 80.0
283000, 15.0, 6.0, 0.0, 79.0
284000, 18.0, 3.0, 0.0, 79.0
285000, 20.0, 4.0, 0.0, 76.0
286000, 11.0, 3.0, 0.0, 86.0
287000, 16.0, 4.0, 0.0, 80.0
288000, 20.0, 6.0, 0.0, 74.0
289000, 19.0, 5.0, 0.0, 76.0
290000, 19.0, 3.0, 0.0, 78.0
291000, 17.0, 4.0, 0.0, 79.0
292000, 19.0, 6.0, 0.0, 75.0
293000, 18.0, 0.0, 0.0, 82.0
294000, 19.0, 1.0, 0.0, 80.0
295000, 16.0, 5.0, 0.0, 79.0
296000, 14.0, 5.0, 0.0, 81.0
297000, 14.0, 8.0, 0.0, 78.0
298000, 17.0, 2.0, 0.0, 81.0
299000, 22.0, 0.0, 0.0, 78.0
300000, 15.0, 6.0, 0.0, 79.0
301000, 15.0, 6.0, 0.0, 79.0
302000, 19.0, 3.0, 0.0, 78.0
303000, 21.0, 2.0, 0.0, 77.0
304000, 19.0, 1.0, 0.0, 80.0
305000, 19.0, 3.0, 0.0, 78.0
306000, 24.0, 4.0, 0.0, 72.0
307000, 15.0, 4.0, 0.0, 81.0
308000, 25.0, 2.0, 0.0, 73.0
309000, 19.0, 4.0, 0.0, 77.0
310000, 25.0, 5.0, 0.0, 70.0
311000, 18.0, 4.0, 0.0, 78.0
312000, 27.0, 1.0, 0.0, 72.0
313000, 27.0, 3.0, 0.0, 70.0
314000, 14.0, 7.0, 0.0, 79.0
315000, 17.0, 4.0, 0.0, 79.0
316000, 23.0, 3.0, 0.0, 74.0
317000, 15.0, 6.0, 0.0, 79.0
318000, 20.0, 3.0, 0.0, 77.0
319000, 18.0, 2.0, 0.0, 80.0
320000, 28.0, 5.0, 0.0, 67.0
321000, 25.0, 3.0, 0.0, 72.0
322000, 13.0, 3.0, 0.0, 84.0
323000, 21.0, 4.0, 0.0, 75.0
324000, 24.0, 1.0, 0.0, 75.0
325000, 21.0, 2.0, 0.0, 77.0
326000, 19.0, 6.0, 0.0, 75.0
327000, 23.0, 0.0, 0.0, 77.0
328000, 13.0, 6.0, 0.0, 81.0
329000, 22.0, 2.0, 0.0, 76.0
330000, 22.0, 1.0, 0.0, 77.0
331000, 22.0, 4.0, 0.0, 74.0
332000, 21.0, 0.0, 0.0, 79.0
333000, 22.0, 5.0, 0.0, 73.0
334000, 18.0, 6.0, 0.0, 76.0
335000, 16.0, 7.0, 0.0, 77.0
336000, 12.0, 6.0, 0.0, 82.0
337000, 17.0, 6.0, 0.0, 77.0
338000, 14.0, 4.0, 0.0, 82.0
339000, 23.0, 5.0, 0.0, 72.0
340000, 15.0, 5.0, 0.0, 80.0
341000, 17.0, 3.0, 0.0, 80.0
342000, 18.0, 9.0, 0.0, 73.0
343000, 17.0, 3.0, 0.0, 80.0
344000, 21.0, 5.0, 0.0, 74.0
345000, 22.0, 7.0, 0.0, 71.0
346000, 23.0, 3.0, 0.0, 74.0
347000, 20.0, 5.0, 0.0, 75.0
348000, 21.0, 2.0, 0.0, 77.0
349000, 13.0, 4.0, 0.0, 83.0
350000, 18.0, 3.0, 0.0, 79.0
351000, 21.0, 7.0, 0.0, 72.0
352000, 33.0, 6.0, 0.0, 61.0
353000, 25.0, 5.0, 0.0, 70.0
354000, 21.0, 4.0, 0.0, 75.0
355000, 16.0, 8.0, 0.0, 76.0
356000, 15.0, 6.0, 0.0, 79.0
357000, 25.0, 3.0, 0.0, 72.0
358000, 23.0, 1.0, 0.0, 76.0
359000, 18.0, 5.0, 0.0, 77.0
360000, 25.0, 2.0, 0.0, 73.0
361000, 23.0, 3.0, 0.0, 74.0
362000, 29.0, 5.0, 0.0, 66.0
363000, 16.0, 4.0, 0.0, 80.0
364000, 18.0, 4.0, 0.0, 78.0
365000, 20.0, 1.0, 0.0, 79.0
366000, 21.0, 2.0, 0.0, 77.0
367000, 19.0, 6.0, 0.0, 75.0
368000, 32.0, 6.0, 0.0, 62.0
369000, 17.0, 8.0, 0.0, 75.0
370000, 16.0, 1.0, 0.0, 83.0
371000, 23.0, 7.0, 0.0, 70.0
372000, 20.0, 4.0, 0.0, 76.0
373000, 23.0, 4.0, 0.0, 73.0
374000, 15.0, 3.0, 0.0, 82.0
375000, 19.0, 5.0, 0.0, 76.0
376000, 25.0, 6.0, 0.0, 69.0
377000, 25.0, 2.0, 0.0, 73.0
378000, 22.0, 4.0, 0.0, 74.0
379000, 14.0, 4.0, 0.0, 82.0
380000, 28.0, 5.0, 0.0, 67.0
381000, 21.0, 4.0, 0.0, 75.0
382000, 23.0, 4.0, 0.0, 73.0
383000, 20.0, 2.0, 0.0, 78.0
384000, 21.0, 6.0, 0.0, 73.0
385000, 21.0, 4.0, 0.0, 75.0
386000, 25.0, 4.0, 0.0, 71.0
387000, 28.0, 2.0, 0.0, 70.0
388000, 23.0, 4.0, 0.0, 73.0
389000, 15.0, 8.0, 0.0, 77.0
390000, 20.0, 6.0, 0.0, 74.0
391000, 26.0, 4.0, 0.0, 70.0
392000, 24.0, 4.0, 0.0, 72.0
393000, 18.0, 10.0, 0.0, 72.0
394000, 25.0, 4.0, 0.0, 71.0
395000, 14.0, 6.0, 0.0, 80.0
396000, 18.0, 9.0, 0.0, 73.0
397000, 25.0, 8.0, 0.0, 67.0
398000, 28.0, 3.0, 0.0, 69.0
399000, 19.0, 9.0, 0.0, 72.0
400000, 16.0, 11.0, 0.0, 73.0
401000, 20.0, 8.0, 0.0, 72.0
402000, 22.0, 6.0, 0.0, 72.0
403000, 23.0, 4.0, 0.0, 73.0
404000, 26.0, 2.0, 0.0, 72.0
405000, 27.0, 7.0, 0.0, 66.0
406000, 20.0, 5.0, 0.0, 75.0
407000, 18.0, 4.0, 0.0, 78.0
408000, 17.0, 4.0, 0.0, 79.0
409000, 26.0, 7.0, 0.0, 67.0
410000, 21.0, 6.0, 0.0, 73.0
411000, 15.0, 7.0, 0.0, 78.0
412000, 21.0, 3.0, 0.0, 76.0
413000, 22.0, 7.0, 0.0, 71.0
414000, 18.0, 6.0, 0.0, 76.0
415000, 31.0, 4.0, 0.0, 65.0
416000, 30.0, 3.0, 0.0, 67.0
417000, 25.0, 2.0, 0.0, 73.0
418000, 23.0, 8.0, 0.0, 69.0
419000, 24.0, 3.0, 0.0, 73.0
420000, 21.0, 5.0, 0.0, 74.0
421000, 23.0, 3.0, 0.0, 74.0
422000, 26.0, 9.0, 0.0, 65.0
423000, 27.0, 5.0, 0.0, 68.0
424000, 20.0, 8.0, 0.0, 72.0
425000, 22.0, 5.0, 0.0, 73.0
426000, 18.0, 7.0, 0.0, 75.0
427000, 27.0, 7.0, 0.0, 66.0
428000, 16.0, 7.0, 0.0, 77.0
429000, 17.0, 5.0, 0.0, 78.0
430000, 26.0, 4.0, 0.0, 70.0
431000, 20.0, 4.0, 0.0, 76.0
432000, 20.0, 2.0, 0.0, 78.0
433000, 29.0, 6.0, 0.0, 65.0
434000, 31.0, 6.0, 0.0, 63.0
435000, 25.0, 3.0, 0.0, 72.0
436000, 23.0, 6.0, 0.0, 71.0
437000, 21.0, 10.0, 0.0, 69.0
438000, 24.0, 7.0, 0.0, 69.0
439000, 24.0, 3.0, 0.0, 73.0
440000, 28.0, 6.0, 0.0, 66.0
441000, 19.0, 9.0, 0.0, 72.0
442000, 25.0, 6.0, 0.0, 69.0
443000, 23.0, 9.0, 0.0, 68.0
444000, 24.0, 8.0, 0.0, 68.0
445000, 27.0, 8.0, 0.0, 65.0
446000, 28.0, 6.0, 0.0, 66.0
447000, 18.0, 1.0, 0.0, 81.0
448000, 19.0, 3.0, 0.0, 78.0
449000, 24.0, 8.0, 0.0, 68.0
450000, 31.0, 4.0, 0.0, 65.0
451000, 24.0, 8.0, 0.0, 68.0
452000, 17.0, 6.0, 0.0, 77.0
453000, 24.0, 6.0, 0.0, 70.0
454000, 17.0, 4.0, 0.0, 79.0
455000, 23.0, 7.0, 0.0, 70.0
456000, 19.0, 2.0, 0.0, 79.0
457000, 25.0, 6.0, 0.0, 69.0
458000, 29.0, 4.0, 0.0, 67.0
459000, 26.0, 8.0, 0.0, 66.0
460000, 29.0, 7.0, 0.0, 64.0
461000, 21.0, 3.0, 0.0, 76.0
462000, 31.0, 3.0, 0.0, 66.0
463000, 25.0, 9.0, 0.0, 66.0
464000, 25.0, 5.0, 0.0, 70.0
465000, 27.0, 4.0, 0.0, 69.0
466000, 30.0, 6.0, 0.0, 64.0
467000, 22.0, 5.0, 0.0, 73.0
468000, 29.0, 6.0, 0.0, 65.0
469000, 24.0, 3.0, 0.0, 73.0
470000, 32.0, 5.0, 0.0, 63.0
471000, 32.0, 6.0, 0.0, 62.0
472000, 28.0, 2.0, 0.0, 70.0
473000, 26.0, 10.0, 0.0, 64.0
474000, 27.0, 2.0, 0.0, 71.0
475000, 22.0, 4.0, 0.0, 74.0
476000, 26.0, 5.0, 0.0, 69.0
477000, 28.0, 9.0, 0.0, 63.0
478000, 29.0, 3.0, 0.0, 68.0
479000, 26.0, 5.0, 0.0, 69.0
480000, 31.0, 7.0, 0.0, 62.0
481000, 31.0, 7.0, 0.0, 62.0
482000, 23.0, 4.0, 0.0, 73.0
483000, 31.0, 5.0, 0.0, 64.0
484000, 25.0, 9.0, 0.0, 66.0
485000, 27.0, 10.0, 0.0, 63.0
486000, 26.0, 3.0, 0.0, 71.0
487000, 28.0, 7.0, 0.0, 65.0
488000, 28.0, 12.0, 0.0, 60.0
489000, 23.0, 8.0, 0.0, 69.0
490000, 21.0, 7.0, 0.0, 72.0
491000, 31.0, 10.0, 0.0, 59.0
492000, 18.0, 9.0, 0.0, 73.0
493000, 22.0, 5.0, 0.0, 73.0
